id,name,type,category,tier,lore,damage_base,damage_per_tier,speed_base,speed_per_tier,combo_base,combo_per_tier,crit_base,crit_per_tier,block_base,block_per_tier,defense_base,defense_per_tier,ability1_name,ability1_tooltip,ability1_cooldown,ability1_mana,ability1_damage,ability1_effect,ability2_name,ability2_tooltip,ability2_cooldown,ability2_mana,ability2_damage,ability2_effect,ability3_name,ability3_tooltip,ability3_cooldown,ability3_mana,ability3_damage,ability3_effect,ability4_name,ability4_tooltip,ability4_cooldown,ability4_mana,ability4_damage,ability4_effect,passive1_name,passive1_desc,passive1_value,passive2_name,passive2_desc,passive2_value,passive3_name,passive3_desc,passive3_value,crafted_by,sprite,craft_time,materials
t0-sword-rusty,Rusty Sword,Sword,1h,0,"A worn blade, barely sharp enough to cut bread.",15,0,80,0,0,0,1,0,2,0,5,0,Basic Slash,A simple slash attack dealing weapon damage. Generates 1 combo point.,0,0,100% weapon damage,Generates 1 combo point,Quick Strike,A fast attack that deals reduced damage but has a short cooldown. Good for building combo points quickly.,3,5,80% weapon damage,Generates 2 combo points,,,0,0,,,,,0,0,,,Worn Edge,Deals 5% less damage due to dull blade,-5,,,0,,,0,Miner,/2dassets/sprites/sword/rusty-sword.png,5,scrap-metal:2;wood-stick:1
t0-axe-chipped,Chipped Axe,Axe,1h,0,A woodcutter's axe past its prime.,18,0,90,0,0,0,1,0,1,0,4,0,Chop,A heavy chop dealing weapon damage. Has a chance to apply bleed.,0,0,110% weapon damage,10% chance to apply 1 bleed stack,Rending Blow,A forceful strike that applies bleed to the target.,5,8,90% weapon damage,Applies 1 bleed stack (3s duration),,,0,0,,,,,0,0,,,Splintered,5% chance attacks miss due to chipped edge,5,,,0,,,0,Miner,/2dassets/sprites/axe/chipped-axe.png,5,scrap-metal:3;wood-stick:1
t0-dagger-blunt,Blunt Dagger,Dagger,1h,0,More of a butter knife than a weapon.,12,0,60,0,10,0,3,0,1,0,3,0,Stab,A quick stab attack. Fast attack speed makes up for low damage.,0,0,90% weapon damage,Generates 2 combo points,Backstab,Deals bonus damage when attacking from behind.,4,6,120% weapon damage (200% from behind),Bonus crit chance from behind,,,0,0,,,,,0,0,,,Dull Point,Critical hits deal 10% less bonus damage,-10,,,0,,,0,Miner,/2dassets/sprites/dagger/blunt-dagger.png,3,scrap-metal:1;wood-stick:1
t0-hammer-worn,Worn Hammer,Hammer1h,1h,0,An old blacksmith's hammer repurposed for combat.,20,0,100,0,0,0,1,0,4,0,8,0,Bash,A heavy bash that deals damage and has a chance to stun.,0,0,100% weapon damage,5% chance to stun for 0.5s,Ground Pound,Slam the ground dealing AoE damage and slowing enemies.,6,10,80% weapon damage AoE,Slows enemies by 20% for 2s,,,0,0,,,,,0,0,,,Heavy Swing,Attacks are 10% slower,10,,,0,,,0,Miner,/2dassets/sprites/hammer/worn-hammer.png,6,scrap-metal:4;wood-stick:2
t0-bow-simple,Simple Bow,Bow,Ranged 2h,0,A hunting bow made from bent wood and twine.,14,0,70,0,15,0,4,0,0,0,2,0,Shoot,Fire an arrow at the target dealing weapon damage.,0,0,100% weapon damage,Range: 25m,Aimed Shot,Take careful aim for increased damage and crit chance.,5,8,150% weapon damage,"+15% crit chance, 1.5s cast time",,,0,0,,,,,0,0,,,Weak String,Range reduced by 5m,-5,,,0,,,0,Forester,/2dassets/sprites/bow/simple-bow.png,5,wood-stick:3;string:2
t0-crossbow-makeshift,Makeshift Crossbow,Crossbow,Ranged 2h,0,A crude crossbow held together with rope and hope.,18,0,85,0,10,0,3,0,1,0,3,0,Fire Bolt,Fire a crossbow bolt at the target.,0,0,100% weapon damage,"Range: 30m, slow reload",Power Shot,A powerful shot that pierces through enemies.,6,10,130% weapon damage,Pierces through first target,,,0,0,,,,,0,0,,,Unreliable,5% chance bolt jams (attack fails),5,,,0,,,0,Engineer,/2dassets/sprites/crossbow/makeshift-crossbow.png,8,wood-stick:4;scrap-metal:2;string:2
t0-gun-flintlock,Old Flintlock,Gun,Ranged 2h,0,An antique firearm that still goes bang... sometimes.,22,0,95,0,20,0,5,0,0,0,2,0,Fire,Fire a single shot. Long reload time but high damage.,0,0,120% weapon damage,"Range: 20m, 2s reload",Powder Blast,Fire an explosive shot that damages nearby enemies.,8,12,100% weapon damage + 50% AoE,3m AoE radius,,,0,0,,,,,0,0,,,Misfires,8% chance shot misfires (50% damage),8,,,0,,,0,Engineer,/2dassets/sprites/gun/old-flintlock.png,10,scrap-metal:5;wood-stick:2;gunpowder:1
t0-staff-apprentice,Apprentice Staff,Staff,Ranged 2h,0,A novice mage's first channeling focus.,16,0,65,0,50,0,3,0,0,0,4,0,Magic Bolt,Fire a bolt of arcane energy at the target.,0,5,100% magic damage,Range: 25m,Mana Spark,Releases stored mana as a damaging burst.,4,10,80% magic damage AoE,"4m radius, restores 5 mana on hit",,,0,0,,,,,0,0,,,Unstable Focus,Spells cost 10% more mana,10,,,0,,,0,Mystic,/2dassets/sprites/staff/apprentice-staff.png,8,wood-stick:3;minor-essence:2
t0-tome-tattered,Tattered Tome,Tome,Offhand,0,Pages are missing but some spells remain legible.,8,0,0,0,30,0,2,0,0,0,2,0,Minor Ward,Creates a small shield absorbing incoming damage.,10,15,,Absorbs 50 damage for 5s,Mana Transfer,Converts health into mana.,8,0,,Sacrifice 20 HP to restore 30 mana,,,0,0,,,,,0,0,,,Faded Ink,+5% spell mana cost,5,,,0,,,0,Mystic,/2dassets/sprites/tome/tattered-tome.png,6,linen-cloth:3;minor-essence:1
t0-greatsword-heavy,Heavy Iron Blade,Greatsword,2h,0,Unwieldy but packs a punch.,25,0,110,0,0,0,2,0,3,0,10,0,Heavy Slash,A slow but powerful slash in a wide arc.,0,0,130% weapon damage,Cleaves up to 3 enemies,Overhead Smash,Bring the blade down with tremendous force.,6,12,180% weapon damage,10% chance to stun for 1s,,,0,0,,,,,0,0,,,Cumbersome,Attack speed reduced by 15%,15,,,0,,,0,Miner,/2dassets/sprites/greatsword/heavy-iron-blade.png,10,scrap-metal:6;wood-stick:2
